,image,car_ground_truth,bus_ground_truth,car_predicted,bus_predicted
0,data/dawn/test-dataset/image0001.jpg,8,1,8,1
1,data/dawn/test-dataset/image0002.jpg,2,0,3,0
2,data/dawn/test-dataset/image0003.jpg,5,0,4,1
3,data/dawn/test-dataset/image0004.jpg,3,0,4,0
4,data/dawn/test-dataset/image0005.jpg,13,0,14,0
5,data/dawn/test-dataset/image0006.jpg,4,0,4,0
6,data/dawn/test-dataset/image0007.jpg,4,0,4,1
7,data/dawn/test-dataset/image0008.jpg,28,0,29,0
8,data/dawn/test-dataset/image0009.jpg,3,0,4,0
9,data/dawn/test-dataset/image0010.jpg,3,0,3,0
10,data/dawn/test-dataset/image0011.jpg,37,0,36,0
11,data/dawn/test-dataset/image0012.jpg,7,1,8,1
12,data/dawn/test-dataset/image0013.jpg,18,0,18,0
13,data/dawn/test-dataset/image0014.jpg,1,0,0,0
14,data/dawn/test-dataset/image0015.jpg,4,0,4,1
15,data/dawn/test-dataset/image0016.jpg,1,0,2,1
16,data/dawn/test-dataset/image0017.jpg,1,0,0,1
17,data/dawn/test-dataset/image0018.jpg,8,0,9,0
18,data/dawn/test-dataset/image0019.jpg,3,0,3,0
19,data/dawn/test-dataset/image0020.jpg,2,0,4,1
20,data/dawn/test-dataset/image0021.jpg,2,0,1,1
21,data/dawn/test-dataset/image0022.jpg,2,0,3,0
22,data/dawn/test-dataset/image0023.jpg,28,0,28,0
23,data/dawn/test-dataset/image0024.jpg,6,0,5,0
24,data/dawn/test-dataset/image0025.jpg,1,0,1,1
25,data/dawn/test-dataset/image0026.jpg,11,0,12,1
26,data/dawn/test-dataset/image0027.jpg,5,0,4,0
27,data/dawn/test-dataset/image0028.jpg,1,0,4,0
28,data/dawn/test-dataset/image0029.jpg,1,0,1,0
29,data/dawn/test-dataset/image0030.jpg,10,1,11,0
30,data/dawn/test-dataset/image0031.jpg,3,0,5,0
31,data/dawn/test-dataset/image0032.jpg,3,0,2,0
32,data/dawn/test-dataset/image0033.jpg,1,0,1,0
33,data/dawn/test-dataset/image0034.jpg,4,0,4,0
34,data/dawn/test-dataset/image0035.jpg,5,0,5,1
35,data/dawn/test-dataset/image0036.jpg,1,0,0,1
36,data/dawn/test-dataset/image0037.jpg,4,0,4,0
37,data/dawn/test-dataset/image0038.jpg,5,0,5,0
38,data/dawn/test-dataset/image0039.jpg,7,0,4,0
39,data/dawn/test-dataset/image0040.jpg,4,0,3,0
40,data/dawn/test-dataset/image0041.jpg,3,3,4,2
41,data/dawn/test-dataset/image0042.jpg,5,1,7,1
42,data/dawn/test-dataset/image0043.jpg,2,0,0,0
43,data/dawn/test-dataset/image0044.jpg,1,1,1,1
44,data/dawn/test-dataset/image0045.jpg,3,0,2,1
45,data/dawn/test-dataset/image0046.jpg,5,0,5,1
46,data/dawn/test-dataset/image0047.jpg,27,0,26,1
47,data/dawn/test-dataset/image0048.jpg,1,0,0,1
48,data/dawn/test-dataset/image0049.jpg,5,0,4,0
49,data/dawn/test-dataset/image0050.jpg,2,0,1,0
50,data/dawn/test-dataset/image0051.jpg,2,0,2,0
51,data/dawn/test-dataset/image0052.jpg,4,0,4,0
52,data/dawn/test-dataset/image0053.jpg,7,0,6,1
53,data/dawn/test-dataset/image0054.jpg,1,0,0,1
54,data/dawn/test-dataset/image0055.jpg,1,0,2,0
55,data/dawn/test-dataset/image0056.jpg,31,0,30,1
56,data/dawn/test-dataset/image0057.jpg,2,0,0,1
57,data/dawn/test-dataset/image0058.jpg,4,0,5,0
58,data/dawn/test-dataset/image0059.jpg,5,0,6,0
59,data/dawn/test-dataset/image0060.jpg,1,0,0,0
60,data/dawn/test-dataset/image0061.jpg,19,0,18,0
61,data/dawn/test-dataset/image0062.jpg,11,1,11,1
62,data/dawn/test-dataset/image0063.jpg,6,0,4,0
63,data/dawn/test-dataset/image0064.jpg,9,0,9,1
64,data/dawn/test-dataset/image0065.jpg,10,0,9,0
65,data/dawn/test-dataset/image0066.jpg,4,1,4,1
66,data/dawn/test-dataset/image0067.jpg,7,0,6,0
